Timestamp,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_memory_failures_total,container_memory_rss,container_memory_usage_bytes,container_memory_working_set_bytes,container_memory_cache,container_network_receive_bytes_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_packets_total,container_processes,container_sockets,container_threads,container_file_descriptors,container_last_seen
2026-07-16 05:30:23.240933,0.0,0.0,0.0,11.899774,17.919154,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,6978682.0,58684.0,12532493.0,36801.0,0.0,0.0,0.0,0.0,1784179823.0
2026-07-16 05:30:24.319903,0.0,0.0,0.0,11.900628,17.920008,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,6998958.0,58958.0,12532493.0,36801.0,0.0,0.0,0.0,0.0,1784179824.0
2026-07-16 05:30:25.394298,0.0,0.0,0.0,11.90151,17.92089,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,7006284.0,59057.0,12532493.0,36801.0,0.0,0.0,0.0,0.0,1784179825.0
2026-07-16 05:30:26.473402,0.0,0.0,0.0,11.902292,17.921672,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,7007986.0,59080.0,12532493.0,36801.0,0.0,0.0,0.0,0.0,1784179826.0
2026-07-16 05:30:27.558044,0.0,0.0,0.0,11.90319,17.92257,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,7017014.0,59202.0,12532493.0,36801.0,0.0,0.0,0.0,0.0,1784179827.0
2026-07-16 05:30:28.635624,0.0,0.0,0.0,11.904769,17.924149,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,7031518.0,59398.0,12532493.0,36801.0,0.0,0.0,0.0,0.0,1784179828.0
2026-07-16 05:30:29.707723,0.0,0.0,0.0,11.904769,17.924149,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,7031518.0,59398.0,12532493.0,36801.0,0.0,0.0,0.0,0.0,1784179829.0
2026-07-16 05:30:30.774460,0.0,0.0,0.0,11.906137,17.925517,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,7031592.0,59399.0,12532493.0,36801.0,0.0,0.0,0.0,0.0,1784179830.0
2026-07-16 05:30:31.848173,0.0,0.0,0.0,11.906137,17.925517,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,7031592.0,59399.0,12532493.0,36801.0,0.0,0.0,0.0,0.0,1784179831.0
2026-07-16 05:30:32.919543,0.0,0.0,0.0,11.910405,17.929785,6.019379,902404.0,148799488.0,400637952.0,377970688.0,88657920.0,7094554.0,60061.0,12576053.0,37461.0,0.0,0.0,0.0,0.0,1784179832.0
