src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.54.1,192.168.54.255,54915,54915,17,2026-07-15 17:03:47,9.062125,370.2222160917004,1.2138433314481978,1.2138433314481978,0.0,11,0,3355,0,305,305,305.0,0.0,0,0,0,0.0,305,305,305.0,0.0,0.0,220,0,20,11,0.9062125,1.02036,0.0,0.30224984792858045,9.062125,1.02036,0.0,0.9062125,0.30224984792858045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0,0,0,11,0,3355,0
116.121.156.200,192.168.54.129,33084,41641,17,2026-07-15 17:03:48,9.00769,1104.8337587106128,4.44065015558928,2.109308823904908,2.331341331684372,19,21,2972,6980,314,74,156.42105263157896,42.493734261930264,1354,74,332.3809523809524,421.6997889709463,1354,74,248.8,319.2803783510662,101939.95999999999,380,420,20,19,0.23096641025641027,2.994933,0.0,0.6797507153024487,9.00769,2.994933,0.0,0.5004272222222222,0.9314133899504891,9.001599,2.999736,1e-06,0.45007995,0.8976474187822007,0,0,0,0,0,0,0,0,0,0,0,1.105263157894737,248.8,0,0,0,0,0,0,0,0,0,0,0,0,4416.0,5.0,0,11870967.74193548387096774194,156.42105263157896,332.3809523809524,0,19,21,2972,6980
192.168.54.129,116.121.156.200,41641,41641,17,2026-07-15 17:03:48,0.763261,652.4635740592013,3.9305034581879594,3.9305034581879594,0.0,3,0,498,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,60,0,20,3,0.3816305,0.763261,0.0,0.3816305,0.763261,0.763261,0.0,0.3816305,0.3816305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,3,0,498,0
192.168.54.129,192.168.0.82,41641,41641,17,2026-07-15 17:03:48,0.762988,652.6970280004404,3.9319098072315684,3.9319098072315684,0.0,3,0,498,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,60,0,20,3,0.381494,0.762988,0.0,0.381494,0.762988,0.762988,0.0,0.381494,0.381494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,3,0,498,0
192.168.54.129,172.238.6.179,51416,443,6,2026-07-15 17:03:48,0.762549,1121.2394219912426,6.556955684159313,3.9341734104955877,2.622782273663725,3,2,548,307,247,54,182.66666666666666,90.98107251266912,247,60,153.5,93.5,247,54,171.0,93.09994629429171,8667.6,60,40,20,2,0.19063725000000004,0.76226,0.0,0.33002655795206465,0.762549,0.762549,0.0,0.3812745,0.3812745,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0.6666666666666666,171.0,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.66666666666666,153.5,0,3,2,548,307
192.168.54.1,239.255.255.250,50566,3702,17,2026-07-15 17:03:50,5.78188,845.0538579147267,1.2106788795339924,1.2106788795339924,0.0,7,0,4886,0,698,698,698.0,0.0,0,0,0,0.0,698,698,698.0,0.0,0.0,140,0,20,7,0.9636466666666667,2.013711,0.0,0.7998801221082376,5.78188,2.013711,0.0,0.9636466666666667,0.7998801221082376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,698.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.0,0,0,7,0,4886,0
192.168.54.129,199.165.136.101,50138,443,6,2026-07-15 17:03:51,0.764959,1975.2692627970912,6.536298023815656,3.9217788142893935,2.6145192095262626,3,2,1300,211,623,54,433.3333333333333,268.229172330097,151,60,105.5,45.5,623,54,302.2,264.17827314145273,69790.16,60,40,20,2,0.19123975000000001,0.764571,0.0,0.3310129741568863,0.764959,0.764959,0.0,0.3824795,0.3824795,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0.6666666666666666,302.2,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.3333333333333,105.5,0,3,2,1300,211
