src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.54.128,192.168.54.2,36271,53,17,2026-07-15 17:01:37,0.002206,212148.68540344515,1359.9274705349048,906.6183136899365,453.30915684496824,2,1,200,268,100,100,100.0,0.0,268,268,268.0,0.0,268,100,156.0,79.19595949289332,6272.0,40,20,20,2,0.001103,0.002206,0.0,0.001103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,268.0,0,2,1,200,268
192.168.54.129,199.165.136.101,50138,443,6,2026-07-15 17:01:37,4.480072,449.5463465765729,2.00889628559541,1.11605349199745,0.89284279359796,5,4,1592,422,504,54,318.4,215.94221449267394,151,60,105.5,45.5,504,54,223.77777777777777,194.9819238218865,38017.950617283954,100,80,20,3,0.5600090000000001,4.071748,0.0,1.3300995835552127,4.480072000000001,4.071748,0.0,1.1200180000000002,1.7062191351529266,4.479754,4.072157,0.20346,1.4932513333333333,1.8235617058851856,3,2,0,0,0,0,0,5,9,0,0,0.8,223.77777777777777,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.4,105.5,0,5,4,1592,422
192.168.54.1,192.168.54.255,54915,54915,17,2026-07-15 17:01:38,9.039548,371.1468759278672,1.2168750030421875,1.2168750030421875,0.0,11,0,3355,0,305,305,305.0,0.0,0,0,0,0.0,305,305,305.0,0.0,0.0,220,0,20,11,0.9039548,1.018415,0.0,0.3014546294452285,9.039548,1.018415,0.0,0.9039548,0.3014546294452285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0,0,0,11,0,3355,0
192.168.54.128,192.168.54.2,37219,53,17,2026-07-15 17:01:38,0.002046,193548.38709677418,1466.275659824047,977.5171065493646,488.7585532746823,2,1,200,196,100,100,100.0,0.0,196,196,196.0,0.0,196,100,132.0,45.254833995939045,2048.0,40,20,20,2,0.001023,0.002046,0.0,0.001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,196.0,0,2,1,200,196
192.168.54.129,116.121.156.200,41641,33084,17,2026-07-15 17:01:39,6.038344,2170.793846789782,6.127507806776162,3.477774701143227,2.6497331056329347,21,16,10634,2474,1354,138,506.3809523809524,538.9604169749015,314,74,154.625,46.350397786858316,1354,74,354.27027027027026,442.9032380840452,196163.27830533244,420,320,20,21,0.1677317777777778,2.991246,0.0,0.5623792743754041,6.038344,2.996616,0.0,0.3019172,0.7603602235155124,6.035399,2.992828,1e-06,0.4023599333333333,0.8164277110507268,0,0,0,0,0,0,0,0,0,0,0,0.7619047619047619,354.27027027027026,0,0,0,0,0,0,0,0,0,0,8336.0,8.0,560.0,4.0,19031963.47031963470319634703,89399.74457215836526181353768,506.3809523809524,154.625,0,21,16,10634,2474
192.200.0.115,192.168.54.129,443,36220,6,2026-07-15 17:01:42,6.2e-05,5354838.709677419,48387.096774193546,32258.06451612903,16129.032258064515,2,1,278,54,139,139,139.0,0.0,54,54,54.0,0.0,139,54,110.66666666666667,40.069384267237695,1605.5555555555557,40,20,20,2,3.1e-05,6.2e-05,0.0,3.1e-05,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0.5,110.66666666666667,64240,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.0,54.0,0,2,1,278,54
192.168.54.129,172.238.6.179,51416,443,6,2026-07-15 17:01:45,0.000304,1940789.4736842103,9868.421052631578,6578.9473684210525,3289.4736842105262,2,1,530,60,265,265,265.0,0.0,60,60,60.0,0.0,265,60,196.66666666666666,96.6379267621615,9338.888888888889,40,20,20,2,0.000152,0.000304,0.0,0.000152,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0.5,196.66666666666666,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.0,60.0,0,2,1,530,60
192.168.54.129,116.121.156.200,41641,41641,17,2026-07-15 17:01:45,0.0,0,0,0,0,2,0,332,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,2,0,332,0
192.168.54.129,192.168.0.82,41641,41641,17,2026-07-15 17:01:45,0.0,0,0,0,0,2,0,332,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,2,0,332,0
