src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.54.1,192.168.54.255,54915,54915,17,2026-07-15 17:01:48,9.060584,370.28518250037746,1.2140497786897622,1.2140497786897622,0.0,11,0,3355,0,305,305,305.0,0.0,0,0,0,0.0,305,305,305.0,0.0,0.0,220,0,20,11,0.9060584,1.019373,0.0,0.3021477337291147,9.060584,1.019373,0.0,0.9060584,0.3021477337291147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0,0,0,11,0,3355,0
192.168.54.129,116.121.156.200,41641,33084,17,2026-07-15 17:01:48,9.011444,1181.8305701061895,3.883950230395928,2.219400131654816,1.664550098741112,20,15,8236,2414,1354,138,411.8,479.22099286237454,314,138,160.93333333333334,42.431853862661036,1354,138,304.2857142857143,383.9455743743281,147414.20408163272,400,300,20,20,0.2650424705882353,2.994653,0.0,0.7659193903798092,9.009971,2.994653,0.0,0.474209,0.9755569350003428,9.00781,3.001899,0.0,0.643415,1.0910008850180384,0,0,0,0,0,0,0,0,0,0,0,0.75,304.2857142857143,0,0,0,0,0,0,0,0,0,0,5856.0,6.0,0,0,17853658.53658536585365853659,0,411.8,160.93333333333334,0,20,15,8236,2414
192.168.54.128,192.200.0.115,32960,443,6,2026-07-15 17:01:49,4.545109,83.38633902949302,1.1000836283574278,0.6600501770144567,0.44003345134297106,3,2,180,199,60,60,60.0,0.0,139,60,99.5,39.5,139,60,75.8,31.6,998.5600000000001,60,40,20,3,1.13627725,4.544999,0.0,1.9680264204535436,4.545109,4.545109,0.0,2.2725545,2.2725545,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0.6666666666666666,75.8,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,99.5,0,3,2,180,199
192.168.54.129,199.165.136.101,50138,443,6,2026-07-15 17:01:51,0.214654,6601.321195971191,23.293299915212387,13.975979949127431,9.317319966084955,3,2,1206,211,576,54,402.0,246.07315985291854,151,60,105.5,45.5,576,54,283.4,241.36743773757058,58258.240000000005,60,40,20,2,0.053663499999999996,0.214217,0.0,0.09269572868935223,0.214654,0.214654,0.0,0.107327,0.107327,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0.6666666666666666,283.4,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.0,105.5,0,3,2,1206,211
