src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.54.1,192.168.54.255,54915,54915,17,2026-07-15 16:55:48,8.042772,379.22248697339677,1.2433524163062188,1.2433524163062188,0.0,10,0,3050,0,305,305,305.0,0.0,0,0,0,0.0,305,305,305.0,0.0,0.0,200,0,20,10,0.8936413333333335,1.019311,0.0,0.31608117851976647,8.042772,1.019311,0.0,0.8936413333333335,0.31608117851976647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0,0,0,10,0,3050,0
192.168.54.129,172.238.6.179,51416,443,6,2026-07-15 16:55:49,7.204751,497.5883274800198,3.331135246728166,1.665567623364083,1.665567623364083,12,12,2533,1052,261,54,211.08333333333334,51.8563051989716,247,60,87.66666666666667,62.45576212185888,261,54,149.375,84.27821609605493,7102.817708333333,240,240,20,11,0.31325004347826085,1.202773,0.0,0.44670807194305895,7.204449,1.203051,0.0,0.6549499090909092,0.44069170316229306,7.204319,1.203075,0.000782,0.6549380909090909,0.4402963433718569,11,2,0,0,0,0,0,13,24,0,0,1.0,149.375,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.08333333333334,87.66666666666667,0,12,12,2533,1052
192.168.54.129,116.121.156.200,41641,41641,17,2026-07-15 16:55:49,6.001225,110.644076834313,0.6665305833392349,0.6665305833392349,0.0,4,0,664,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,80,0,20,4,2.000408333333333,5.349409,0.0,2.383005122873824,6.001225,5.349409,0.0,2.000408333333333,2.383005122873824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,4,0,664,0
192.168.54.129,192.168.0.82,41641,41641,17,2026-07-15 16:55:49,6.001087,110.64662118712826,0.6665459107658329,0.6665459107658329,0.0,4,0,664,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,80,0,20,4,2.0003623333333334,5.349687,0.0,2.3832138359865143,6.001087,5.349687,0.0,2.0003623333333334,2.3832138359865143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,4,0,664,0
192.168.54.129,116.121.156.200,41641,33084,17,2026-07-15 16:55:49,6.000974,110.64870469360473,0.6665584620096671,0.6665584620096671,0.0,4,0,664,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,80,0,20,4,2.0003246666666668,5.34947,0.0,2.3830925584689786,6.000974,5.34947,0.0,2.0003246666666668,2.3830925584689786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,4,0,664,0
192.168.54.129,192.168.54.2,55364,5351,17,2026-07-15 16:55:49,0.000158,898734.1772151899,18987.3417721519,18987.3417721519,0.0,3,0,142,0,54,44,47.333333333333336,4.714045207910317,0,0,0,0.0,54,44,47.333333333333336,4.714045207910317,22.222222222222225,60,0,20,3,7.9e-05,0.000158,0.0,7.9e-05,0.000158,0.000158,0.0,7.9e-05,7.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.333333333333336,0,0,3,0,142,0
192.168.54.129,68.183.90.120,41641,3478,17,2026-07-15 16:55:49,0.465384,1181.819744555034,15.041342203427707,8.595052687672975,6.4462895157547315,4,3,328,222,82,82,82.0,0.0,74,74,74.0,0.0,82,74,78.57142857142857,3.958973274443148,15.673469387755102,80,60,20,4,0.077564,0.101454,0.0,0.037081236050056365,0.20041399999999998,0.101064,0.0,0.06680466666666666,0.04724321514131832,0.200549,0.101454,0.099095,0.1002745,0.0011795,0,0,0,0,0,0,0,0,0,0,0,0.75,78.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,74.0,0,4,3,328,222
192.168.54.129,176.58.93.248,41641,3478,17,2026-07-15 16:55:49,0.268499,886.4092603696848,11.173225971046447,7.448817314030965,3.7244086570154824,2,1,164,74,82,82,82.0,0.0,74,74,74.0,0.0,82,74,79.33333333333333,3.7712361663282534,14.222222222222221,40,20,20,2,0.1342495,0.268499,0.0,0.1342495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,74.0,0,2,1,164,74
192.168.54.129,185.40.234.219,41641,3478,17,2026-07-15 16:55:49,0.269897,881.8178786722342,11.115351411834885,7.41023427455659,3.705117137278295,2,1,164,74,82,82,82.0,0.0,74,74,74.0,0.0,82,74,79.33333333333333,3.7712361663282534,14.222222222222221,40,20,20,2,0.1349485,0.269897,0.0,0.1349485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,74.0,0,2,1,164,74
192.168.54.129,102.67.165.90,41641,3478,17,2026-07-15 16:55:49,0.410831,579.3136350470145,7.302272710676653,4.868181807117769,2.4340909035588845,2,1,164,74,82,82,82.0,0.0,74,74,74.0,0.0,82,74,79.33333333333333,3.7712361663282534,14.222222222222221,40,20,20,2,0.2054155,0.410831,0.0,0.2054155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,79.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,74.0,0,2,1,164,74
