src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.54.129,199.165.136.101,50138,443,6,2026-07-15 17:00:47,4.807283,436.0051197318735,1.8721593881616705,1.040088548978706,0.8320708391829646,5,4,1674,422,586,54,334.8,231.9365430457219,151,60,105.5,45.5,586,54,232.88888888888889,209.25659126453894,43788.32098765431,100,80,20,3,0.600910375,3.712154,0.0,1.210171790889721,4.807283,3.712154,0.0,1.20182075,1.4856196610585386,4.806883,3.712518,0.211052,1.6022943333333333,1.5171830598294842,3,2,0,0,0,0,0,5,9,0,0,0.8,232.88888888888889,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.8,105.5,0,5,4,1674,422
192.168.54.1,192.168.54.255,54915,54915,17,2026-07-15 17:00:47,9.0209,371.9141105654647,1.2193905264441465,1.2193905264441465,0.0,11,0,3355,0,305,305,305.0,0.0,0,0,0,0.0,305,305,305.0,0.0,0.0,220,0,20,11,0.90209,1.018195,0.0,0.30086127217639697,9.020900000000001,1.018195,0.0,0.90209,0.30086127217639697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0,0,0,11,0,3355,0
192.168.54.129,116.121.156.200,41641,33084,17,2026-07-15 17:00:48,9.007764,1436.7605545615982,4.107567649418879,2.3313221793999044,1.7762454700189747,21,16,10390,2552,1354,138,494.76190476190476,543.5237678039484,314,138,159.5,41.4578098794425,1354,138,349.7837837837838,442.71881962544563,195999.95325054787,420,320,20,21,0.2502156666666666,2.995547,0.0,0.7514668168821192,9.007764,2.995547,0.0,0.4503882,0.9624538898955419,9.002457,3.00116,1e-06,0.6001638,1.0734274659342504,0,0,0,0,0,0,0,0,0,0,0,0.7619047619047619,349.7837837837838,0,0,0,0,0,0,0,0,0,0,7968.0,7.0,560.0,4.0,13620512.82051282051282051282,61182.12607888124112312902873,494.76190476190476,159.5,0,21,16,10390,2552
192.168.54.128,192.200.0.115,32960,443,6,2026-07-15 17:00:52,1e-06,180000000.0,3000000.0,2000000.0,1000000.0,2,1,120,60,60,60,60.0,0.0,60,60,60.0,0.0,60,60,60.0,0.0,0.0,40,20,20,2,5e-07,1e-06,0.0,5e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,60.0,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,0,2,1,120,60
