src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.54.1,192.168.54.255,54915,54915,17,2026-07-15 16:57:37,9.041208,371.0787319570571,1.2166515801870725,1.2166515801870725,0.0,11,0,3355,0,305,305,305.0,0.0,0,0,0,0.0,305,305,305.0,0.0,0.0,220,0,20,11,0.9041208000000001,1.021211,0.0,0.30152798286719595,9.041208,1.021211,0.0,0.9041208000000001,0.30152798286719595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.0,0,0,11,0,3355,0
192.168.54.129,116.121.156.200,41641,33084,17,2026-07-15 16:57:40,6.001461,82.97979442005871,0.4998782796389079,0.4998782796389079,0.0,3,0,498,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,60,0,20,3,3.0007305,6.001461,0.0,3.0007305,6.001461,6.001461,0.0,3.0007305,3.0007305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,3,0,498,0
192.168.54.129,172.238.6.179,51416,443,6,2026-07-15 16:57:40,6.001424,143.46595074768922,0.8331356024836772,0.49988136149020634,0.3332542409934709,3,2,741,120,247,247,247.0,0.0,60,60,60.0,0.0,247,60,172.2,91.61091638009087,8392.560000000001,60,40,20,3,1.500356,6.00098,0.0,2.598436479606631,6.001235,6.001235,0.0,3.0006175,3.0006175,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0.6666666666666666,172.2,65535,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.0,60.0,0,3,2,741,120
192.168.54.129,192.168.0.82,41641,41641,17,2026-07-15 16:57:40,6.00128,82.98229710994987,0.4998933560840354,0.4998933560840354,0.0,3,0,498,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,60,0,20,3,3.00064,6.00128,0.0,3.00064,6.00128,6.00128,0.0,3.00064,3.00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,3,0,498,0
192.168.54.129,116.121.156.200,41641,41641,17,2026-07-15 16:57:40,6.001065,82.98527011455467,0.49991126575032935,0.49991126575032935,0.0,3,0,498,0,166,166,166.0,0.0,0,0,0,0.0,166,166,166.0,0.0,0.0,60,0,20,3,3.0005325,6.001065,0.0,3.0005325,6.001065,6.001065,0.0,3.0005325,3.0005325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,0,0,3,0,498,0
192.168.54.128,192.168.54.129,43172,80,6,2026-07-15 16:57:41,5.004672,82.72270390547072,1.1988797667459525,0.799253177830635,0.3996265889153175,4,2,282,132,75,66,70.5,4.5,66,66,66.0,0.0,75,66,69.0,4.242640687119285,18.0,80,40,20,2,1.0009344,5.004257,0.0,2.0016613012216227,5.004672,5.004315,0.0,1.6682240000000002,2.3589725732576885,0,0,0,0,0,2,0,0,0,2,0,0,2,6,0,0,0.5,69.0,63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5,66.0,0,4,2,282,132
192.168.54.128,192.168.54.129,43188,80,6,2026-07-15 16:57:41,5.004737,83.52087232555876,1.198864196060652,0.799242797373768,0.399621398686884,4,2,286,132,77,66,71.5,5.5,66,66,66.0,0.0,77,66,69.66666666666667,5.185449728701348,26.88888888888889,80,40,20,2,1.0009474,5.004204,0.0,2.001628301563864,5.0047369999999995,5.004314,0.0,1.6682456666666665,2.3589565473226126,0,0,0,0,0,2,0,0,0,2,0,0,2,6,0,0,0.5,69.66666666666667,63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,66.0,0,4,2,286,132
192.168.54.128,192.168.54.129,43204,80,6,2026-07-15 16:57:41,5.004737,83.12125092687188,1.198864196060652,0.799242797373768,0.399621398686884,4,2,284,132,76,66,71.0,5.0,66,66,66.0,0.0,76,66,69.33333333333333,4.714045207910317,22.222222222222225,80,40,20,2,1.0009473999999998,5.004172,0.0,2.001612301765314,5.0047369999999995,5.004314,0.0,1.6682456666666665,2.3589565473226126,0,0,0,0,0,2,0,0,0,2,0,0,2,6,0,0,0.5,69.33333333333333,63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,66.0,0,4,2,284,132
192.168.54.128,192.168.54.129,43210,80,6,2026-07-15 16:57:41,5.004737,83.52087232555876,1.198864196060652,0.799242797373768,0.399621398686884,4,2,286,132,77,66,71.5,5.5,66,66,66.0,0.0,77,66,69.66666666666667,5.185449728701348,26.88888888888889,80,40,20,2,1.0009473999999998,5.00415,0.0,2.001601302240144,5.0047369999999995,5.004314,0.0,1.6682456666666665,2.3589565473226126,0,0,0,0,0,2,0,0,0,2,0,0,2,6,0,0,0.5,69.66666666666667,63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,66.0,0,4,2,286,132
192.168.54.128,192.168.54.129,43226,80,6,2026-07-15 16:57:41,5.004512,83.12498801081904,1.19891809630989,0.79927873087326,0.39963936543663,4,2,284,132,76,66,71.0,5.0,66,66,66.0,0.0,76,66,69.33333333333333,4.714045207910317,22.222222222222225,80,40,20,2,1.0009023999999997,5.004073,0.0,2.0015853033399904,5.004511999999999,5.004089,0.0,1.6681706666666665,2.3588504813057187,0,0,0,0,0,2,0,0,0,2,0,0,2,6,0,0,0.5,69.33333333333333,63,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,66.0,0,4,2,284,132
