dst_port,protocol,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,fwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
80,6,1231.0,9772542.648253452,12185.215272136473,7311.129163281884,4874.086108854589,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,87.92857142857142,314.0,0.0,102.0899213478,1230.9999999999,421.0,0.0,153.87499999989998,150.0911702099,904.0,336.0,1.0,180.8,126.49173886059998,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
80,6,971.0,12396498.455200825,15447.991761071062,9268.795056642635,6179.196704428425,9,6,696,11341,152,66,77.33333333333333,26.599916457680003,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.4666666666667,1885.344490773208,3554523.848888888,180,120,20,1,69.35714285714286,276.0,0.0,82.69272479906486,971.0,286.0,0.0,121.375,110.5598678318,781.0,428.0,0.0,156.2,158.00430373880002,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.4666666666667,64240,65160,77.33333333333333,1890.1666666666667,0,9,6,696,11341,0
80,6,1018.0,11817288.801571708,14734.77406679764,8840.864440078585,5893.909626719057,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,72.71428571428572,308.0,0.0,93.9646047124954,1018.0,452.0,0.0,127.25,150.98323582429998,755.0,390.0,1.0,150.99999999989998,133.15104205370002,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
80,6,1137.0,10583992.963940194,13192.612137203168,7915.5672823219,5277.0448548812665,9,6,693,11341,149,66,77.0,25.66450207322688,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.2666666666667,1885.4136404395604,3554784.595555556,180,120,20,1,81.21428571428571,254.0,0.0,82.2150304049679,1137.0,300.0,0.0,142.125,111.7982977285,873.0,367.0,1.0,174.5999999999,140.07512270200002,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.2666666666667,64240,65160,77.0,1890.1666666666667,0,9,6,693,11341,0
80,6,1040.0,11574038.461538462,14423.076923076924,8653.846153846154,5769.2307692307695,9,6,696,11341,152,66,77.33333333333333,26.599916457680003,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.4666666666667,1885.344490773208,3554523.848888888,180,120,20,1,74.2857142857143,268.0,0.0,88.75924786540642,1040.0,290.0,0.0,130.0,120.0166655094,760.0,341.0,1.0,152.0,113.1989399243,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.4666666666667,64240,65160,77.33333333333333,1890.1666666666667,0,9,6,696,11341,0
80,6,1187.0,10138163.437236732,12636.899747262009,7582.139848357204,5054.759898904803,9,6,693,11341,149,66,77.0,25.66450207322688,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.2666666666667,1885.4136404395604,3554784.595555556,180,120,20,1,84.78571428571428,265.0,0.0,81.15521158463538,1187.0,296.0,0.0,148.375,94.24295398065576,945.0,427.0,1.0,189.0,148.1769212799,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.2666666666667,64240,65160,77.0,1890.1666666666667,0,9,6,693,11341,0
80,6,1035.0,11623188.405797103,14492.753623188408,8695.652173913044,5797.101449275363,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,73.92857142857143,295.0,0.0,93.93954308544428,1035.0,407.0,0.0,129.375,142.502576731,873.0,384.0,1.0,174.6,139.5544338242,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
80,6,965.0,12473575.129533678,15544.041450777202,9326.42487046632,6217.616580310881,9,6,696,11341,152,66,77.33333333333333,26.599916457680003,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.4666666666667,1885.344490773208,3554523.848888888,180,120,20,1,68.92857142857143,242.0,0.0,78.11115183388556,965.0,362.0,0.0,120.625,114.2551284406,792.0,335.0,1.0,158.4,129.6049381775,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.4666666666667,64240,65160,77.33333333333333,1890.1666666666667,0,9,6,696,11341,0
80,6,1277.0,9423649.177760376,11746.280344557556,7047.768206734534,4698.512137823023,9,6,693,11341,149,66,77.0,25.66450207322688,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.2666666666667,1885.4136404395604,3554784.595555556,180,120,20,1,91.21428571428572,252.0,0.0,95.23668153712669,1277.0,384.0,0.0,159.625,131.4295795283,1011.0,454.0,1.0,202.1999999999,163.8919156029,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.2666666666667,64240,65160,77.0,1890.1666666666667,0,9,6,693,11341,0
80,6,666.0,18063063.063063063,22522.52252252252,13513.513513513511,9009.009009009009,9,6,689,11341,145,66,76.55555555555556,24.41816769498168,7306,66,1890.1666666666667,2629.3401210612183,7306,66,802.0,1885.506298053656,3555134.0,180,120,20,1,47.57142857142856,162.0,0.0,52.87412854494866,666.0,245.0,0.0,83.24999999999999,79.0075154653024,540.0,223.0,1.0,108.0,81.58921497354903,1,0,2,3,0,4,13,0,0,0.6666666666666666,802.0,64240,65160,76.55555555555556,1890.1666666666667,0,9,6,689,11341,0
